subject,word,entry_number,x,y,domain,pair,word1,x1,y1,word2,x2,y2,euclidean_distance
24628,manager,17,660,48,occupations,"manager, inspector",manager,660,48,inspector,632,76,39.59797974644666
24628,inspector,18,632,76,occupations,"inspector, factory worker",inspector,632,76,factory worker,268,181,378.8416555765746
24628,factory worker,19,268,181,occupations,"factory worker, postal worker",factory worker,268,181,postal worker,272,172,9.848857801796104
24628,postal worker,20,272,172,occupations,"postal worker, tree cutter",postal worker,272,172,tree cutter,33,106,247.94555854057964
24628,tree cutter,21,33,106,occupations,"tree cutter, gardener",tree cutter,33,106,gardener,39,138,32.55764119219941
24628,gardener,22,39,138,occupations,"gardener, musician",gardener,39,138,musician,592,281,571.1899859066158
24628,musician,23,592,281,occupations,"musician, influencer",musician,592,281,influencer,506,182,131.13733259449805
24628,influencer,24,506,182,occupations,"influencer, actor",influencer,506,182,actor,492,168,19.79898987322333
24628,actor,25,492,168,occupations,"actor, senator",actor,492,168,senator,631,25,199.42417105255822
24628,senator,26,631,25,occupations,"senator, driver",senator,631,25,driver,53,246,618.8093405888441
24628,driver,27,53,246,occupations,"driver, athlete",driver,53,246,athlete,457,268,404.5985664828782
24628,athlete,28,457,268,occupations,"athlete, mother",athlete,457,268,mother,32,243,425.73465914816
24628,mother,29,32,243,occupations,NA,mother,32,243,NA,NA,NA,NA
24628,hockey,1,379,117,sports,"hockey, soccer",hockey,379,117,soccer,378,313,196.0025510038071
24628,soccer,2,378,313,sports,"soccer, football",soccer,378,313,football,373,274,39.319206502675
24628,football,3,373,274,sports,"football, weight lifting",football,373,274,weight lifting,99,322,278.1726082848561
24628,weight lifting,4,99,322,sports,"weight lifting, track",weight lifting,99,322,track,134,277,57.0087712549569
24628,track,5,134,277,sports,"track, dog sled racing",track,134,277,dog sled racing,492,316,360.1180362047977
24628,dog sled racing,6,492,316,sports,"dog sled racing, skating",dog sled racing,492,316,skating,254,300,238.53720883753127
24628,skating,7,254,300,sports,"skating, gymnastics",skating,254,300,gymnastics,0,231,263.20524310887123
24628,gymnastics,8,0,231,sports,"gymnastics, basketball",gymnastics,0,231,basketball,367,237,367.0490430446591
24628,basketball,9,367,237,sports,"basketball, netball",basketball,367,237,netball,399,203,46.69047011971501
24628,netball,10,399,203,sports,"netball, cricket",netball,399,203,cricket,389,177,27.85677655436824
24628,cricket,11,389,177,sports,"cricket, lacross",cricket,389,177,lacross,371,150,32.449961479175904
24628,lacross,12,371,150,sports,"lacross, bobsled racing",lacross,371,150,bobsled racing,505,285,190.21303845951255
